combinedFlightNumber,Large_delays,slight_delays,moderate_delays,total_cancellations,
WN 1181,0,0,0,10,
UA 5766,0,0,0,10,
WN 1907,0,0,0,10,
AA 4687,0,0,0,10,
B6 1052,0,0,0,10,
NK 317,0,0,0,10,
AA 1805,0,0,0,10,
B6 695,0,0,0,10,
B6 1968,0,0,0,10,
AA 3979,0,0,0,10,
AA 3693,0,0,0,10,
UA 4720,0,0,0,10,
AA 1270,0,0,0,10,
AA 3636,0,0,0,10,
AA 3942,0,0,0,10,
WN 895,0,0,0,10,
B6 234,0,0,0,10,
AA 2398,0,0,0,10,
AA 3651,0,0,0,10,
B6 182,0,0,0,10,
AA 358,0,0,0,10,
WN 1640,0,0,0,10,
AA 5451,0,0,0,10,
AA 584,0,0,0,10,
AA 1320,0,0,0,10,
WN 1101,0,0,0,10,
AA 1868,0,0,0,9,
AA 2238,0,0,0,9,
AA 2459,0,0,0,9,
B6 1815,0,0,0,9,
AA 5827,0,0,0,9,
AA 2403,0,0,0,9,
WN 1509,0,0,0,9,
AA 3882,0,0,0,9,
AA 4397,0,0,0,9,
WN 2513,0,0,0,9,
DL 4114,0,0,0,9,
NK 387,0,0,0,9,
WN 706,0,0,0,9,
AA 6084,0,0,0,9,
AA 646,0,0,0,9,
AA 1588,0,0,0,9,
AA 2659,0,0,0,9,
B6 185,0,0,0,9,
UA 5404,0,0,0,9,
WN 2530,0,0,0,9,
B6 2954,0,0,0,9,
WN 283,0,0,0,9,
AA 2065,0,0,0,9,
WN 1838,0,0,0,9,
B6 1271,0,0,0,9,
WN 1685,0,0,0,9,
AA 1569,0,0,0,9,
DL 3997,0,0,0,9,
NK 972,0,0,0,9,
AA 1423,0,0,0,9,
B6 2280,0,0,0,9,
B6 2020,0,0,0,9,
AA 4187,0,0,0,9,
AA 2222,0,0,0,9,
DL 3760,0,0,0,9,
AA 2078,0,0,0,9,
AA 1830,0,0,0,9,
B6 1485,0,0,0,9,
B6 1954,0,0,0,9,
NK 764,0,0,0,9,
AA 2081,0,0,0,9,
WN 2282,0,0,0,9,
AA 2616,0,0,0,9,
AA 5731,0,0,0,9,
AS 726,0,0,0,9,
B6 585,0,0,0,9,
AS 792,0,0,0,9,
WN 1386,0,0,0,9,
AA 3850,0,0,0,9,
AA 2487,0,0,0,9,
WN 1239,0,0,0,9,
WN 900,0,0,0,9,
AA 4002,0,0,0,9,
UA 5204,0,0,0,9,
AA 3809,0,0,0,9,
AA 359,0,0,0,9,
AA 398,0,0,0,9,
WN 1470,0,0,0,9,
AA 1710,0,0,0,9,
WN 942,0,0,0,9,
AA 1599,0,0,0,9,
UA 4665,0,0,0,9,
AA 3857,0,0,0,9,
AA 3539,0,0,0,9,
AA 3714,0,0,0,9,
AA 2314,0,0,0,9,
AA 4008,0,0,0,9,
AA 3914,0,0,0,9,
AA 1497,0,0,0,9,
AA 2257,0,0,0,9,
AA 2759,0,0,0,9,
AA 2635,0,0,0,9,
AA 2438,0,0,0,9,
B6 1137,0,0,0,9,
AS 60,0,0,0,9,
AA 4010,0,0,0,9,
AA 4194,0,0,0,9,
B6 776,0,0,0,9,
AA 1957,0,0,0,9,
AA 2336,0,0,0,9,
NK 1225,0,0,0,9,
B6 731,0,0,0,9,
B6 686,0,0,0,9,
B6 1555,0,0,0,9,
WN 3058,0,0,0,9,
AA 2922,0,0,0,9,
AA 1322,0,0,0,9,
AA 2596,0,0,0,9,
AA 1708,0,0,0,9,
B6 331,0,0,0,9,
NK 2006,0,0,0,9,
AA 1992,0,0,0,9,
AA 4164,0,0,0,9,
B6 918,0,0,0,9,
WN 772,0,0,0,9,
WN 629,0,0,0,9,
AA 2249,0,0,0,9,
WN 824,0,0,0,9,
AA 3203,0,0,0,9,
AA 1917,0,0,0,9,
AA 1813,0,0,0,9,
AA 1100,0,0,0,9,
WN 1862,0,0,0,9,
AA 1421,0,0,0,9,
DL 5266,0,0,0,9,
AA 2345,0,0,0,9,
WN 950,0,0,0,9,
AA 4101,0,0,0,9,
AA 3123,0,0,0,9,
B6 2001,0,0,0,9,
AA 1950,0,0,0,9,
NK 2957,0,0,0,9,
NK 609,0,0,0,9,
AA 4014,0,0,0,9,
AA 3272,0,0,0,9,
AA 3823,0,0,0,8,
NK 98,0,0,0,8,
NK 2956,0,0,0,8,
AA 6077,0,0,0,8,
AA 2610,0,0,0,8,
AA 2158,0,0,0,8,
B6 794,0,0,0,8,
B6 102,0,0,0,8,
AA 3696,0,0,0,8,
AA 1955,0,0,0,8,
WN 1210,0,0,0,8,
AA 5942,0,0,0,8,
NK 3211,0,0,0,8,
WN 2133,0,0,0,8,
B6 1174,0,0,0,8,
DL 2069,0,0,0,8,
NK 1971,0,0,0,8,
AS 2570,0,0,0,8,
WN 1408,0,0,0,8,
AA 4176,0,0,0,8,
AA 5842,0,0,0,8,
